control_id,control_objective,nist_ai_rmf,nist_ai_600_1_alignment,iso_iec_42001_theme,eu_ai_act_lens,evidence
AIG-01,Maintain a complete AI use-case inventory with ownership purpose and status,GOVERN and MAP,Governance foundation,AI management system scope and inventory,AI system scoping and accountability,"Inventory; owner attestations; approval status"
AIG-02,Classify AI risk before production use,MAP,Risk identification and contextualization,Risk assessment and treatment,Risk-based obligations,"Risk assessment; tier rationale; legal review when applicable"
AIG-03,Require documented human oversight for consequential use cases,GOVERN and MANAGE,Human-AI Configuration,Roles responsibilities and operational controls,Human oversight,"Oversight plan; workflow evidence; override records"
AIG-04,Test AI systems for quality bias security and privacy before approval,MEASURE,"Confabulation; Harmful Bias; Data Privacy; Information Security",Performance evaluation and monitoring,Testing accuracy robustness and risk management,"Evaluation plan; test results; issue log"
AIG-05,Apply data minimization access control and retention limits,MAP and MANAGE,Data Privacy,Data governance and information security,Data governance and privacy,"Data-flow map; access reviews; retention settings; DLP evidence"
AIG-06,Perform third-party AI due diligence and change governance,GOVERN,Value Chain and Component Integration,Supplier and lifecycle controls,Provider and deployer responsibilities,"Vendor assessment; contract clauses; change notices; exit plan"
AIG-07,Maintain model or system documentation and traceability,GOVERN and MEASURE,Information Integrity and Information Security,Documented information and lifecycle controls,Technical documentation and recordkeeping lens,"Model card; logs; version history; approvals"
AIG-08,Monitor deployed AI for drift incidents complaints and policy violations,MEASURE and MANAGE,Multiple GAI risk categories,Monitoring measurement and corrective action,Post-market monitoring lens,"Dashboards; sampled outputs; complaint log; risk review minutes"
AIG-09,Operate an AI incident response and reauthorization process,MANAGE,Multiple GAI risk categories,Nonconformity corrective action and continual improvement,Incident and serious-risk response lens,"Incident record; containment evidence; root cause; corrective action; reapproval"
AIG-10,Retire AI systems and revoke access when business need ends,MANAGE,Value Chain and Component Integration,Lifecycle and continual improvement,System lifecycle accountability,"Retirement ticket; data disposition evidence; access revocation"
