Risk ID,Risk Statement,Root Cause,Affected Asset,Control Failure,NIST CSF 2.0 Function,NIST SP 800 53 Family,ISO 27001 Theme,Likelihood,Impact,Inherent Score,Current Maturity,Residual Likelihood,Residual Impact,Residual Score,Status,Owner,Treatment,Evidence Required
R1,Privileged vendor API access remains active after the analytics modernization project ended.,Identity and Access Management drift,Claims analytics cloud storage,Least privilege and access recertification failed,Protect,Access Control,Technological access control,5,5,25,2,4,5,20,Open,Security Engineering,"Revoke stale access, enforce quarterly vendor access certification, require named ownership","Access review report, revoked token evidence, updated role matrix"
R2,Contractor session credentials are exposed through infostealer malware and reused against vendor systems.,Weak endpoint hygiene and session governance,Third party contractor workstation,Authentication and awareness controls failed,Protect,Identification and Authentication,People and technological controls,4,5,20,2,4,4,16,Open,Vendor Manager,"Require phishing resistant multifactor authentication, endpoint attestation, contractor security clauses","MFA report, endpoint compliance sample, contract addendum"
R3,Expired vendor security assessments continue to support renewals without current evidence.,Review fatigue and poor expiration tracking,Supplier assurance process,Supplier review control became ceremonial,Govern,Supply Chain Risk Management,Organizational supplier controls,5,4,20,1,4,4,16,Open,GRC,Create supplier review calendar with blocking renewal gates and evidence standards,"Vendor review calendar, evidence checklist, renewal gate approval"
R4,"No centralized inventory provides a complete view of active vendors, data flows, and access paths.","Ownership ambiguity between Procurement, Legal, Security, and Compliance",Vendor ecosystem,Asset and supplier inventory failed,Identify,Program Management,Organizational governance controls,5,5,25,1,4,5,20,Open,Procurement,Build authoritative vendor inventory and require business owner attestation,"Inventory export, owner attestation, data flow map"
R5,Temporary business exceptions become permanent and bypass required control enforcement.,Executive pressure and weak exception governance,Exception register,Risk acceptance controls failed,Govern,Risk Assessment,Organizational governance controls,4,4,16,2,3,4,12,Open,Risk Committee,Implement expiring exception workflow with executive acceptance and compensating controls,"Exception log, expiration report, approval evidence"
R6,Fragmented logs prevent rapid identification of unusual API activity and delay detection.,Monitoring design gaps and tool fragmentation,Security logs and API telemetry,Logging and monitoring controls failed,Detect,Audit and Accountability,Technological monitoring controls,4,5,20,2,3,5,15,Open,Security Operations,"Centralize API logs, tune alerts, create vendor anomaly use cases","SIEM query results, log source inventory, alert tuning record"
R7,Analysts ignore low fidelity alerts because daily noise overwhelms meaningful triage.,Alert desensitization and workload imbalance,Security operations queue,Human dependent detection control degraded,Detect,Audit and Accountability,People and operational controls,4,4,16,2,3,3,9,Open,SOC Manager,"Reduce false positives, define triage thresholds, track alert quality metrics","Alert quality dashboard, triage playbook, false positive trend"
R8,"Incident disclosure is delayed because Legal, Communications, Compliance, and Security lack a clear escalation pathway.",Incident ownership ambiguity,Incident response governance,Incident handling and communication controls failed,Respond,Incident Response,Organizational incident management controls,3,5,15,2,2,5,10,In Progress,Incident Commander,Build breach communication matrix with decision authority and tabletop testing,"Tabletop report, contact tree, decision rights matrix"
R9,"Supplier contracts lack enforceable audit rights, breach notification timelines, and access evidence obligations.",Contract standards not aligned to current risk,Supplier contracts,Supplier agreement control failed,Govern,System and Services Acquisition,Organizational supplier controls,4,5,20,2,3,5,15,Open,Legal,Refresh supplier security addendum and apply to Tier 1 renewals first,"Approved addendum, sample executed contract, gap tracker"
R10,Security awareness training records show completion but do not prove changed behavior.,Training measured as attendance rather than control effectiveness,Workforce behavior,Awareness control measured the wrong outcome,Protect,Awareness and Training,People controls,4,3,12,2,3,3,9,In Progress,Training Lead,"Measure simulated decision making, escalation speed, and exception discipline","Simulation results, learning analytics, improved escalation metrics"
