risk_id,risk_statement,affected_use_cases,nist_gai_risk,likelihood,impact,inherent_score,treatment,key_controls,target_residual_score,owner,evidence_required
AIR-01,Sensitive data may be disclosed to AI systems or unauthorized users causing privacy contractual or regulatory impact,"AI-002;AI-007;AI-008",Data Privacy,4,5,20,Mitigate,"Data minimization; approved tools; DLP; access controls; retention limits; user training",8,Chief Privacy Officer,"DLP logs; configuration evidence; access reviews; vendor data-use terms"
AIR-02,AI may produce confident but unsupported output that is relied upon in a business decision,"AI-001;AI-002;AI-005;AI-007",Confabulation,4,4,16,Mitigate,"Human verification; retrieval grounding; citations where feasible; test sets; usage boundaries",8,Chief Risk Officer,"Evaluation results; sampled outputs; reviewer records; issue log"
AIR-03,AI-assisted applicant screening may create or amplify discriminatory outcomes,AI-003,Harmful Bias or Homogenization,3,5,15,Mitigate,"Bias testing; job-related criteria; human decision authority; adverse-impact review; appeal path",6,Chief Human Resources Officer,"Bias evaluation; outcome metrics; reviewer procedures; approval record"
AIR-04,Third-party AI provider changes or outages may create unassessed security compliance or continuity risk,"AI-001;AI-002;AI-003;AI-008",Value Chain and Component Integration,3,4,12,Mitigate,"Vendor due diligence; change notification; SLA; exit plan; subprocessor review",6,Vendor Risk Manager,"Assessment; contract clauses; service reports; change notices"
AIR-05,Prompt injection or retrieval poisoning may manipulate system behavior or expose restricted content,AI-007,Information Security,4,4,16,Mitigate,"Input filtering; retrieval access controls; adversarial testing; content boundaries; logging",8,CISO,"Red-team results; access-control tests; logs; remediation records"
AIR-06,Users may over-rely on AI recommendations and weaken independent judgment,"AI-002;AI-003;AI-004;AI-005;AI-007",Human-AI Configuration,3,5,15,Mitigate,"Human oversight standard; training; confidence cues; approval gates; override capability",6,Chief Risk Officer,"Training records; workflow evidence; override logs; QA sampling"
AIR-07,Insufficient disclosure or explanation may prevent affected people from understanding meaningful AI involvement,"AI-002;AI-003;AI-004",Information Integrity,3,3,9,Mitigate,"Disclosure rules; explanation standard; escalation path; documentation",4,General Counsel,"Approved notices; procedures; sampled communications"
AIR-08,Missing logs or incomplete documentation may prevent reconstruction of AI decisions incidents or model changes,"AI-002;AI-003;AI-004;AI-007",Information Security,3,4,12,Mitigate,"Central logging; version records; prompt/output retention by policy; decision records; access logs",6,CIO,"Audit logs; version history; model card; approval records"
AIR-09,Model or service changes may reduce performance or invalidate prior risk assessment,"AI-002;AI-003;AI-004;AI-007",Value Chain and Component Integration,3,4,12,Mitigate,"Change control; re-testing triggers; vendor notification; performance monitoring",6,AI Governance Lead,"Change tickets; vendor notices; re-test results; approval records"
AIR-10,AI-generated content may create intellectual-property or provenance concerns,"AI-001;AI-006",Intellectual Property,3,4,12,Mitigate,"Approved-use policy; provenance review; human editing; vendor terms; restricted-content controls",6,General Counsel,"Policy; vendor terms; content-review samples; issue log"
